6, 2022/05/12 16:22:47.811, 60.15 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:48.817, 59.15 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:49.820, 59.73 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:50.823, 60.13 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:22:51.827, 133.73 , 1605 MHz, 6800 MHz, 1605 MHz
6, 2022/05/12 16:22:52.830, 192.94 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:53.833, 194.15 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:54.836, 191.20 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:55.839, 192.14 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:56.844, 192.29 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:57.847, 85.05 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:22:58.852, 87.24 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:22:59.861, 60.81 , 1350 MHz, 7000 MHz, 1350 MHz
6, 2022/05/12 16:23:00.865, 60.60 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:01.868, 84.12 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:23:02.873, 84.75 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:23:03.876, 60.63 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:04.879, 188.81 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:05.882, 84.60 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:06.885, 64.54 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:07.889, 60.57 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:08.899, 60.85 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:09.903, 185.15 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:10.906, 84.94 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:23:11.909, 84.85 , 1890 MHz, 7000 MHz, 1890 MHz
6, 2022/05/12 16:23:12.912, 77.02 , 1605 MHz, 6800 MHz, 1605 MHz
6, 2022/05/12 16:23:13.916, 68.27 , 1605 MHz, 6800 MHz, 1605 MHz
6, 2022/05/12 16:23:14.920, 61.42 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:15.923, 60.37 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:16.928, 61.78 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:17.931, 60.53 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:18.935, 60.49 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:19.959, 60.72 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:20.962, 60.60 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:21.965, 60.82 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:22.968, 60.75 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:23.971, 60.40 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:24.974, 60.24 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:25.979, 60.42 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:26.982, 181.24 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:27.990, 190.02 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:28.994, 188.84 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:30.000, 189.26 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:31.004, 191.23 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:32.008, 191.24 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:33.011, 191.42 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:34.015, 191.98 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:35.019, 192.25 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:36.024, 192.73 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:37.029, 192.83 , 1890 MHz, 6800 MHz, 1890 MHz
6, 2022/05/12 16:23:38.034, 191.12 , 1875 MHz, 6800 MHz, 1875 MHz
6, 2022/05/12 16:23:39.037, 191.40 , 1875 MHz, 6800 MHz, 1875 MHz
6, 2022/05/12 16:23:40.041, 191.51 , 1875 MHz, 6800 MHz, 1875 MHz
6, 2022/05/12 16:23:41.044, 191.76 , 1875 MHz, 6800 MHz, 1875 MHz
6, 2022/05/12 16:23:42.047, 192.33 , 1875 MHz, 6800 MHz, 1875 MHz
6, 2022/05/12 16:23:43.051, 192.58 , 1875 MHz, 6800 MHz, 1875 MHz
6, 2022/05/12 16:23:44.056, 192.16 , 1875 MHz, 6800 MHz, 1875 MHz
6, 2022/05/12 16:23:45.060, 87.61 , 1875 MHz, 6800 MHz, 1875 MHz
6, 2022/05/12 16:23:46.063, 86.98 , 1875 MHz, 7000 MHz, 1875 MHz
6, 2022/05/12 16:23:47.067, 54.49 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:48.075, 61.43 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:49.078, 70.66 , 1635 MHz, 7000 MHz, 1635 MHz
6, 2022/05/12 16:23:50.083, 71.48 , 1635 MHz, 7000 MHz, 1635 MHz
6, 2022/05/12 16:23:51.087, 52.33 , 420 MHz, 5000 MHz, 420 MHz
6, 2022/05/12 16:23:52.091, 51.62 , 420 MHz, 5000 MHz, 420 MHz
6, 2022/05/12 16:23:55.103, 61.18 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:56.107, 61.20 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:57.110, 61.44 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:58.115, 61.17 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:23:59.118, 61.15 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:00.121, 60.93 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:01.125, 61.24 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:02.128, 61.22 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:03.130, 61.11 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:04.134, 61.26 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:05.139, 61.45 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:06.144, 61.79 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:07.148, 61.35 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:08.152, 61.20 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:09.155, 61.22 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:10.159, 61.55 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:11.164, 61.10 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:12.167, 61.95 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:13.170, 61.16 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:14.173, 61.41 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:15.179, 60.92 , 1350 MHz, 6800 MHz, 1350 MHz
6, 2022/05/12 16:24:16.184, 61.02 , 1350 MHz, 6800 MHz, 1350 MHz
